type	EN	RU
1	{MM_1_type1} {DD_1}, {YYYY_1}	{DD_1} {MM_1_type1} {YYYY_1} г.
2	{DD_1}th of {MM_1_type1}	{DD_1} {MM_1_type1}
3	{MM_1_type2} {DD_1}	{DD_1} {MM_1_type1}
4	{MM_1_type1} {DD_1} to {DD_2}, {YYYY_1}	С {DD_1} по {DD_2} {MM_1_type1} {YYYY_1} г.
5	From {MM_1_type1} {DD_1} to {MM_2_type1} {DD_2}, {YYYY_1}	С {DD_1} {MM_1_type1} по {DD_2} {MM_2_type1} {YYYY_1} г.
6	{MM_1_type1} {DD_1} to {DD_2}, {YYYY_1}	С {DD_1} по {DD_2} {MM_1_type1} {YYYY_1} г.
7	From {MM_1_type1} {DD_1} to {MM_2_type1} {DD_2}	С {DD_1} {MM_1_type1} по {DD_2} {MM_2_type1} {YYYY_1} г.
8	{MM_1_type2}. {DD_1} — {MM_2_type2}. {DD_2}	{DD_1} {MM_1_type2} — {DD_2} {MM_2_type2}
9	{DD_1}-{DD_2} {MM_1_type2}	{DD_1}-{DD_2} {MM_1_type2}
10	From {MM_1_type1} {DD_1}, {YYYY_1} to {MM_2_type1} {DD_2}, {YYYY_2}	С {DD_1} {MM_1_type1} {YYYY_1} г. по {DD_2} {MM_2_type1} {YYYY_2} г.
11	{DD_1} {MM_1_type2} {YYYY_1} — {DD_2} {MM_2_type2} {YYYY_2}	{DD_1} {MM_1_type2} {YYYY_1} — {DD_2} {MM_2_type2} {YYYY_2}
12	{MM_1_type1} {DD_1} at {hh_1}:{mm_1}	{DD_1} {MM_1_type1} в {hh_1}:{mm_1}
13	{MM_1_type1} {DD_1} from {hh_1}:{mm_1} to {hh_2}:{mm_2}	{DD_1} {MM_1_type1} с {hh_1}:{mm_2} до {hh_2}:{mm_2}
14	From {MM_1_type1} {DD_1}, {hh_1}:{mm_1} to {MM_2_type1} {DD_2}, {hh_2}:{mm_2}	С {DD_1} {MM_1_type1} {hh_1}:{mm_1} по {DD_2} {MM_2_type1} {hh_2}:{mm_2}
15	From {MM_1_type1} {DD_1}, {hh_1}:{mm_1} to {MM_2_type1} {DD_2}, {hh_2}:{mm_2}	С {DD_1} {MM_1_type1} {hh_1}:{mm_1} по {DD_2} {MM_2_type1} {hh_2}:{mm_2}
16	{DD_1}.{MM_1_type3} at {hh_1}:{mm_1}	{DD_1}.{MM_1_type3} в {hh_1}:{mm_1}
17	From {MM_1_type3}/{DD_1} {hh_1}:{mm_1} to {MM_1_type3}/{DD_2} {hh_2}:{mm_2}	С {DD_1}.{MM_1} {hh_1}:{mm_1} по {DD_2}.{MM_2} {hh_2}:{mm_2}
